desc_county,n,cd_party,ind_vote
ONSLOW,24406,0.20592826345587553,0.3862984512005245
ROBESON,36367,0.5061305721403421,0.40665988396073366
RANDOLPH,15867,0.16515050584953578,0.42307934707254047
ANSON,9028,0.5674061969706492,0.42678334071776697
HALIFAX,21875,0.5865712063926206,0.43378285714285714
ROWAN,23667,0.24249223864998617,0.4338107913973043
CUMBERLAND,88947,0.4202154296782728,0.436540861411852
SAMPSON,13268,0.348717409587889,0.43834790473319263
HARNETT,24436,0.29073170731707315,0.4501555082664921
MECKLENBURG,337305,0.4207765476376111,0.45181956982552884
GASTON,41570,0.2678479381443299,0.4528265576136637
RUTHERFORD,10783,0.23116665952064486,0.45525363998887136
HOKE,14236,0.42084725219499214,0.45595672941837595
CATAWBA,21356,0.19304160753509478,0.457669975650871
WILSON,25651,0.46304787349267096,0.46197029355580677
WAYNE,28166,0.372305130001454,0.4624724845558475
PITT,49007,0.4090154151748083,0.46387250800905994
VANCE,16924,0.5878225834462159,0.4644292129520208
DUPLIN,11345,0.363063236047107,0.4649625385632437
EDGECOMBE,21450,0.6161137440758294,0.46531468531468534
RICHMOND,12326,0.4382266149962669,0.46641246146357296
YADKIN,3181,0.1278485591415136,0.4699779943414021
MONTGOMERY,5641,0.3227116704805492,0.47402942740648824
CABARRUS,44354,0.28910558083145393,0.4779726743923885
LENOIR,16885,0.45333727111636146,0.4781166716020136
DAVIDSON,22166,0.19274112204792876,0.47947306685915364
STANLY,8844,0.2018486819582335,0.4798733604703754
CALDWELL,10083,0.1856085707974376,0.48021422195775065
IREDELL,28063,0.20726456273034113,0.4820582261340555
PENDER,11375,0.23749373642892935,0.482989010989011
CLEVELAND,21080,0.3113093304191157,0.4836337760910816
HERTFORD,9425,0.6563827564593635,0.4840318302387268
SCOTLAND,10093,0.4791587542726927,0.4857822253046666
CHEROKEE,3636,0.1570015976510212,0.4876237623762376
UNION,39360,0.23099540474080507,0.494969512195122
GUILFORD,160472,0.42369180481957613,0.49601176529238744
FORSYTH,103228,0.38196376768693385,0.4963188282249002
WILKES,7303,0.1653347218763442,0.4970560043817609
PERQUIMANS,3090,0.3016399843811011,0.4970873786407767
CURRITUCK,3431,0.14914797426534515,0.49839696881375695
AVERY,1355,0.10703847065329015,0.4996309963099631
ROCKINGHAM,18535,0.30032730572298916,0.503318046938225
DAVIE,4859,0.1515264914086132,0.5033957604445359
BERTIE,8050,0.626751790719402,0.5036024844720497
JOHNSTON,40603,0.26701784152412517,0.5046917715439746
LEE,12941,0.3286937085672195,0.5063750869330036
WASHINGTON,4855,0.5931582162492364,0.5091658084449021
BURKE,13474,0.22816018965371265,0.5097966453911237
NASH,29742,0.43703529550063186,0.5117678703516912
CRAVEN,20404,0.27691973616351345,0.5155851793765929
PASQUOTANK,11196,0.38309666381522667,0.5161664880314398
SURRY,9861,0.20754756693045967,0.5176959740391441
ALAMANCE,38335,0.3377741358497881,0.5202034694143733
NORTHAMPTON,8292,0.62694692272796,0.5202604920405209
SWAIN,3026,0.3043653188493261,0.5218109715796431
BEAUFORT,10608,0.3173577454676001,0.5247926093514329
COLUMBUS,15308,0.4139870730454066,0.5253462241964986
LINCOLN,12237,0.18397907176040773,0.5270899730326061
CHOWAN,3733,0.3698969480776853,0.5274578087329226
MOORE,15852,0.20926456416416944,0.532488014130709
BLADEN,9563,0.4301263887014798,0.5373836662135313
MCDOWELL,5992,0.20062947833657002,0.5387182910547397
CASWELL,6320,0.41028304336535965,0.5390822784810126
MITCHELL,1098,0.09800946175131661,0.5391621129326047
CAMDEN,1445,0.17758387612142068,0.5404844290657439
STOKES,5632,0.1735539736833996,0.5440340909090909
WATAUGA,11872,0.2591913370011353,0.5486017520215634
NEW HANOVER,52129,0.28908680534374426,0.5503270732221988
TYRRELL,1064,0.4628099173553719,0.5507518796992481
MARTIN,8070,0.4963404883449167,0.5520446096654275
PERSON,9877,0.35513447432762835,0.5547230940568999
CLAY,1472,0.1518935094417501,0.5550271739130435
GRANVILLE,16506,0.4072739834188709,0.5556161395856052
WARREN,8101,0.6128763806929944,0.5564745093198371
GREENE,5039,0.464595242485709,0.5614209168485811
JONES,2593,0.36832386363636366,0.5615117624373313
FRANKLIN,17159,0.33903696824800933,0.564543388309342
JACKSON,8955,0.29832100739556267,0.5689558905639308
DURHAM,128469,0.5349932537104592,0.5725739283406892
BRUNSWICK,27657,0.21883827474066514,0.5786600137397404
WAKE,291322,0.3579910269376199,0.5789916312533897
GATES,3662,0.4389308402253386,0.583014746040415
GRAHAM,1209,0.19806684141546527,0.587262200165426
CARTERET,9682,0.17693713450292398,0.5903738896922124
HENDERSON,17557,0.1971699702397664,0.5916728370450532
MACON,5211,0.18615368127746224,0.5966225292650164
DARE,7632,0.23903783512904034,0.5966981132075472
POLK,3743,0.22675228690858423,0.6019235907026449
ALEXANDER,4510,0.18002554686252595,0.6059866962305986
ASHE,4026,0.20125974805038993,0.6125186289120715
HYDE,1382,0.4456626894550145,0.6128798842257598
PAMLICO,2925,0.2942359923548939,0.6283760683760684
BUNCOMBE,75705,0.35964712253798137,0.6377782180833499
,4041,0.2765913757700205,0.639693145261074
MADISON,5362,0.3084977849375755,0.6422976501305483
HAYWOOD,12833,0.27943385955362005,0.6476272110963921
ORANGE,52012,0.46667623730395147,0.6649427055294932
TRANSYLVANIA,5988,0.22504509921828023,0.6683366733466933
ALLEGHANY,1884,0.2412291933418694,0.6809978768577495
CHATHAM,21436,0.35640535372848947,0.6985445045717484
